URL,Harga,Lokasi,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Sertifikat,Daya Listrik,Jumlah Lantai,Kondisi Properti,Lainnya,Carport,Kamar Tidur Pembantu,Kamar Mandi Pembantu,Garasi,IMB
https://www.rumah123.com/properti/tangerang/hos18061939/,Rp 740 Juta,"BSD City, Tangerang",2.0,1.0,64 m²,60 m²,SHM,2200 Watt,1.0,Bagus,Informasi tambahan tidak tersedia,,,,,
https://www.rumah123.com/properti/tangerang/hos16834953/,"Rp 3,4 Miliar","BSD, Tangerang",4.0,3.0,265 m²,200 m²,SHM,7700 Watt,2.0,Bagus,Informasi tambahan tidak tersedia,1.0,1.0,,,
https://www.rumah123.com/properti/tangerang/hos17793580/,Rp 610 Juta,"BSD City, Tangerang",2.0,2.0,52 m²,90 m²,Lainnya,1300 Watt,2.0,Bagus,Informasi tambahan tidak tersedia,,,,,
https://www.rumah123.com/properti/tangerang/hos16619034/,"Rp 1,07 Miliar","BSD, Tangerang",3.0,2.0,107 m²,115 m²,SHM,2200 Watt,2.0,Bagus,Informasi tambahan tidak tersedia,,,,,
https://www.rumah123.com/properti/tangerang/hos18243032/,"Rp 1,44 Miliar","BSD City, Tangerang",4.0,3.0,234 m²,130 m²,SHM,2200 Watt,2.0,Bagus,Informasi tambahan tidak tersedia,,,,,
https://www.rumah123.com/properti/tangerang/hos16662808/,"Rp 2,05 Miliar","BSD, Tangerang",3.0,2.0,154 m²,117 m²,SHM,2200 Watt,2.0,Bagus,Informasi tambahan tidak tersedia,1.0,,,,
https://www.rumah123.com/properti/tangerang/hos17799693/,"Rp 9,95 Miliar","BSD City, Tangerang",4.0,5.0,200 m²,393 m²,PPJB,Lainnya,4.0,Sudah Renovasi,Informasi tambahan tidak tersedia,2.0,1.0,1.0,1.0,
https://www.rumah123.com/properti/tangerang/hos17985593/,Rp 730 Juta,"BSD City, Tangerang",2.0,1.0,107 m²,45 m²,SHM,1300 Watt,1.0,Bagus,Informasi tambahan tidak tersedia,,,,,
https://www.rumah123.com/properti/tangerang/hos16847460/,Rp 810 Juta,"BSD, Tangerang",2.0,2.0,45 m²,54 m²,SHM,2200 Watt,2.0,Bagus,Informasi tambahan tidak tersedia,,,,,
https://www.rumah123.com/properti/tangerang/hos18068634/,"Rp 2,1 Miliar","BSD City, Tangerang",3.0,3.0,60 m²,120 m²,SHM,Lainnya,3.0,Bagus,Informasi tambahan tidak tersedia,,,,,
https://www.rumah123.com/properti/tangerang/hos17309265/,"Rp 1,44 Miliar","BSD, Tangerang",2.0,1.0,112 m²,60 m²,SHM,2200 Watt,1.0,Bagus,Informasi tambahan tidak tersedia,,,,,
https://www.rumah123.com/properti/tangerang/hos18564821/,Rp 830 Juta,"BSD City, Tangerang",3.0,2.0,90 m²,54 m²,HGB,3500 Watt,1.0,Bagus,Informasi tambahan tidak tersedia,,,,,
https://www.rumah123.com/properti/tangerang/hos18043054/,Rp 500 Juta,"BSD, Tangerang",2.0,1.0,80 m²,70 m²,SHM,Lainnya,2.0,Bagus,Informasi tambahan tidak tersedia,,,,,
https://www.rumah123.com/properti/tangerang/hos18564836/,Rp 760 Juta,"BSD City, Tangerang",2.0,1.0,72 m²,53 m²,SHM,1300 Watt,1.0,Bagus,Informasi tambahan tidak tersedia,,,,,
https://www.rumah123.com/properti/tangerang/hos19150521/,"Rp 4,2 Miliar","BSD City, Tangerang",3.0,2.0,160 m²,200 m²,SHM,Lainnya,2.0,Bagus,Informasi tambahan tidak tersedia,,1.0,1.0,,
https://www.rumah123.com/properti/tangerang/hos19062483/,"Rp 3,29 Miliar","Gading Serpong, Tangerang",5.0,3.0,144 m²,180 m²,SHM,5500 Watt,1.0,Bagus,Informasi tambahan tidak tersedia,1.0,,,,
https://www.rumah123.com/properti/tangerang/hos19146791/,"Rp 2,85 Miliar","Gading Serpong, Tangerang",3.0,4.0,84 m²,144 m²,PPJB,Lainnya,3.0,Bagus,Informasi tambahan tidak tersedia,,,,,
https://www.rumah123.com/properti/tangerang/hos19139068/,Rp 22 Miliar,"BSD City, Tangerang",5.0,4.0,425 m²,900 m²,PPJB,Lainnya,4.0,Bagus,Informasi tambahan tidak tersedia,2.0,3.0,1.0,2.0,Ada
https://www.rumah123.com/properti/tangerang/hos19097221/,"Rp 5,8 Miliar","BSD, Tangerang",4.0,5.0,136 m²,235 m²,Lainnya,Lainnya,1.0,Bagus,Informasi tambahan tidak tersedia,,,,,
https://www.rumah123.com/properti/tangerang/hos19035410/,"Rp 3,05 Miliar","Gading Serpong, Tangerang",3.0,3.0,126 m²,204 m²,SHM,Lainnya,2.0,Bagus,Informasi tambahan tidak tersedia,,1.0,1.0,,
https://www.rumah123.com/properti/tangerang/hos16274998/,"Rp 12,5 Miliar","Alam Sutera, Tangerang",5.0,5.0,331 m²,520 m²,Lainnya,6600 Watt,3.0,Baru,Informasi tambahan tidak tersedia,2.0,1.0,1.0,2.0,
